"","created_on","difficulty","type","hints","answer","problem","lines","technique_used","uploaded"
"10","200928_152223_216138","EXP","NOR","26","491352687675891342382467519946275831523618794817943265764589123138724956259136478","491050000000091000300460500006070800020000004017900000060000103000000006200100408","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000011111","0"
"11","200928_152224_277824","MAS","NOR","23","738129546164735928295648731316487295982563417457291683823956174641372859579814362","000000000000700908205640000016000000900003000050200680003050100600002009000800060","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00001001111","0"
"12","200928_152225_323137","REG","NOR","25","589413672462987315731652984697345128318276459245198736176529843924831567853764291","000010600000900000001000080600040008000270009045100700100520000004000067850700090","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"13","200928_152226_458305","EXP","NOR","23","835419276279368451416275938758946123143852769692137584384721695967584312521693847","000010070070000050010205008750006003000800000092000000384700600000000012000090000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000011111","0"
"14","200928_152227_517819","NOV","NOR","25","681935742945127683273864951857612394419583267326749815768351429594276138132498576","600030740000107000200000000800602004000003060020000015000050000004200138002490000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000000001","0"
"15","200928_152228_809826","MAS","NOR","26","548176329127893456639452781714235968953768214286941573395617842462589137871324695","000170309007803000600050000010000000953000200006000003000007040060500100800304095","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","01000011111","0"
"16","200928_152229_987312","REG","NOR","25","643258791182479536579361842324617985768593124951824367237945618495186273816732459","000058001080470500079000002300017080060000124000000000000940010000006003006000050","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"17","200928_152231_162832","REG","NOR","24","587316492936842157124975386453298761891637245672154839345729618269481573718563924","580300400006040100024970300000208000890000000000050000040000608009001070000000020","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"18","200928_152232_178997","REG","NOR","25","437162859821795643659483712246378195395621487718549236572834961983216574164957328","000100850000005603050003700200308000000620007010000030000004000080000504160900020","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"19","200928_152233_202952","EXP","NOR","25","619257348457813962328946175871439526245681739963572814186794253534128697792365481","610007308400000900020046000001009506205000709060000000100004003000008000002000001","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000011111","0"
"20","200928_152416_234251","REG","NOR","25","759642318234918765861537924198325647327864591645791283413259876986173452572486139","050042000004000760001007000090000600307004500045000083000200006980070000000080100","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"21","200928_152417_335158","MAS","NOR","24","346815729258379416917624538182563974639742851475198263564281397821937645793456182","300000000050370010900024008102560000030040000000008000560000090000900040000400082","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00101011111","0"
"22","200928_152418_892247","NOV","NOR","23","182547936679382415543619728467928351358461279921735864295876143736194582814253697","102040906070000005000010000000908300050400070020700000000000100700000080004250600","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000000111","0"
"23","200928_152419_629448","REG","NOR","23","456398172321475869978216534645132987892567341137984256214753698569841723783629415","050300000321075800000006004040100007802000300000900200000700090000040000083000000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"24","200928_152420_692298","EXP","NOR","27","274638915831759426965124738518372649427596183693481257152963874749815362386247591","074030005030050020060100008010300640000006100000080007050900074009800000300007001","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000011111","0"
"25","200928_152421_940967","REG","NOR","22","478953216691782453523641897215897634846135729739264185164329578357418962982576341","000053010600780050020000000205007604040100009000000000000320070000000900002006000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"26","200928_152423_132085","REG","NOR","25","321865794968742153457139628589273461134658972672491385843927516716584239295316847","301060090008040050000030000000203460000000002070000380043900006700084000090006000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"27","200928_152424_260223","NOV","NOR","24","839764512547821693621539748365297481218645379794318265483156927156972834972483156","800004000500801003000000740060000000010045370000000260003100900100070004070000050","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000000111","0"
"28","200928_152425_239168","NOV","NOR","24","572861943986324157413795628357948261841632579269517384198276435724153896635489712","570001000000020100400700608050000061000600000209000000100000430000050800035009002","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000000111","0"
"29","200928_152426_194089","REG","NOR","24","762485391391627854584391627439276518157834962628519743916748235843952176275163489","000485000090000800000000027030076508100000000600009003000040000000000106270063009","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"30","200928_152444_934853","REG","SUM","16","134986275628375914957421368486297153715863492293154687842519736369748521571632849","004000000008005904000000060000000003005000400200000000040000000309700500000000800","93d557b9386bbb9686ebeeaebeb92bbed2d6c6ac53a939787bee86ebebabbeb9296eee92c6ed557c6","00000001111","0"
"31","200928_152446_874281","REG","SUM","14","142689573936275148587413269694832751273951684815764932769148325451326897328597416","000000000030075000000403000000000000073000680000000000000108000000320090000000000","d57bbd793d7baad386bbeeebaebaebd3aed6c7ebaebd397bac7ebaebaebbbee92c7aaed7c6d7eed57","00000001111","0"
"32","200928_152448_533908","REG","SUM","16","961475328285931764473862951624193875198754236537628149759216483816347592342589617","000005000200030060000000000024100070000000000030008140000000000010040002000500000","bd13bd793abc6e93c6aad3bc2bbec7ec7eaed3d5557c7babd3bd3bee83ec7aa93c6b93eac6d7ec47e","00000001111","0"
"33","200928_152450_006361","MAS","SUM","18","216975834857134629493826571739512486125468793684397152962751348541283967378649215","006005000000104600000006000700500000100000003000007002000700000001203000000600200","d3b917b93beac6bac6c3c57aad7babd3eed3aec7ad3bac7bbc7eaed7aad53c393ae93abec6ed46ec7","00001011111","0"
"34","200928_152452_046855","MAS","SUM","14","389724516675198324124356798756239481831645972942817653567482139418973265293561847","000020000070000300000050700000200000030000070000007000007080000008000060000060000","d793d5393d3c693ac6bebd46ed3c7ed5793ab93d57c6eac6d57bd3c7b917ebe93ac693c7c6c57c6d7","01001001111","0"
"35","200928_152454_436805","REG","SUM","16","319274658642358971758169342524681739867935124193742586935826417486517293271493865","300000008002000001000000000000600730000905000093002000000000000400000200200000005","bbbd3d57baa83c7d52aac6b93beeed7a86c7d57baed57d392ad7bbbec6e93aa857d3c2aaed57c7eee","00000001111","0"
"36","200928_152455_905025","MAS","SUM","14","826571493943286157517394682294153768385647219761928534479865321158732946632419875","806000000040080000000000000294000000000000000000000534000000000000030040000000805","d53d7bbbb93ed7eaeac6bbd3c7ad3ec7c3bababd57eaeaec3d3bc7ad3c7ee93ababd7bc6eeeed7c57","00101011111","0"
"37","200928_152458_216457","EXP","SUM","16","416325978235789461987164325849613752721458639563297184178546293354972816692831547","000020070030700000000000005000003000701000609000200000100000000000002010090030000","d553d557bb93ed3d3eac47bc3abc793abeaabbc2a83eeaabeac6d3eac3ed13abc7c7bc6eed557c557","00000011111","0"
"38","200928_152459_892991","EXP","SUM","20","746951823215638947839742516581476239693825471427193685152364798374589162968217354","000000023200600007000042000500006000600000001000100005000360000300009002960000000","bd7d53d13ad57babc6ed7d6ee93bd3bd7d46c7ec53bd3917d7ec7ec6bb97d7b93eaed57ac47c57d7e","00000011111","0"
"39","200928_152501_801166","MAS","SUM","16","817256493953784126264139785746398251128675349539412678391827564675941832482563917","000206400000000000000039000006000000120000049000000600000820000000000000002503000","bbd7d3d7beed7babd6bd53eec57c57c7bbd7d53956c57d7eed3d53d53bbc57e97eaed7bbed7c7d7ee","01000001111","0"
"40","200928_152535_169829","MAS","SUM","16","184326759697845132532719486923687541761594823458132697815973264279468315346251978","180000009000000000002000480000007000001000800000100000015000200000000000300000078","bd57d13d3c7d53c6be93bbe93ebc6aebc69293c7ad3c68693eba93ebc6beec6be93c57d3c7c47d57e","01100011111","0"
"41","200928_152537_597285","MAS","SUM","16","814357296675298134293416578148569723952873461736124859561982347489735612327641985","810000200005000000000000000040000003052000460700000050000000000000000600007000085","bbd553bd7ac53bec57c57ead557bd3d6bb97eba956aebd6ee97c7ed557abd53d53bec53ad7ec557ee","00001011111","0"
"42","200928_152540_357144","REG","SUM","20","598461723641327589372958614914632875863579241257184936125793468489216357736845192","000400000001020009300000004000630070003000200050084000100000008400010300000005000","bd3d13d13c7c7c6bc6d3d57bebbbc57be92aa93d07c6aa86bed53eeebed57c793e93d3d3c47c47c7e","00000001111","0"
"43","200928_152541_969061","REG","SUM","14","354861297982437651617592843278159364435628719169743528743216985821975436596384172","000000207002000000000500000000000304005000700109000000000006000000000400506000000","bd3d7bd53ebebbc57ebed6ed13bc3d3bbc6abc7aaad3ea93eec7c3ec47b97bebd53eebebc57ed7c7e","00000001111","0"
"44","200928_152543_677814","REG","SUM","14","314296587285137964769485213943651728672849351158723496897514632431962875526378149","000000500000100900000000000003050008070000050100020400000000000001002000006000000","d557bbd3bbd396ebea83aed3abec6c7baeabbbd3ac7eeeabaed393beac7bac2abeb96c7eec7eed557","00000001111","0"
"45","200928_152545_323890","MAS","SUM","18","569821437213674958487953162138745629652319784794268315325496871976182543841537296","500000030003600000000050100000005000050309080000200000005090000000002500040000006","93bd13bbb86abc6aeaebaad56d6beeabd79383d6a97c2c6d7eabbe97957aaebaba93ea92eeec47ec6","01001011111","0"
"46","200928_152547_737944","MAS","SUM","12","147683925625197483893254671951328746378465192462971358589716234236549817714832569","000000005005000000800200000000000700070000090002000000000006004000000800700000000","bd57d3d7bc393bc3bebec6c3eebed557e97a97bd57ed6ad6bd557bebbc393bebec3ec6c3ed7c7d57e","01000011111","0"
"47","200928_152549_492057","REG","SUM","18","316859724784632915952174836145796382278413659693285147437928561821567493569341278","010000000000000010900004000005096082000000000690280100000900001020000000000000070","bbbbd553baaac393eeaeebac2bbc796ebeeed7e956bd7bbbeb96d3ee83aebbabbc6c3aaaec557eeee","00000001111","0"
"48","200928_152550_812850","NOV","SUM","28","592643817846517329173829654481762593369185742257934168614278935725391486938456271","000000817840007020003009054001700000300000002000004100610200900020300086938000000","d3bd7bd13be8796bc6ed6d69693d3d7babc2bebbaeebe83eaed7c7c6969797b93e96d2bec47ed7ec7","00000000111","0"
"49","200928_152552_048230","EXP","SUM","18","953672814742581369618439572836927451491856723275314698564298137189763245327145986","000000000002000000000000502800907400400806003005304008504000000000000200000000000","bbd57d3bbac7d3beeec397ac3bbbeed6baaec3b956ec3baae97bbeeec3ad6c3bbbec7d3aeec7d57ee","00000011111","0"
"50","200928_152701_044255","MAS","SUM","18","745129683936458712812637549628793451193546827457812396379284165564971238281365974","040000003930050000000007500000003000100000007000800000009200000000070038200000070","d57d53d13917d3c7c6c6d3e9393953ebc686ebed07beb9293ebc56c6c6bc79393d3c7d46c47c57d57","01101001111","0"
"51","200928_152703_003860","REG","SUM","18","583612749617489523492537816324968175851273964976145238238796451165824397749351682","000602009000489000400000010000000070000000000070000000030000001000824000700301000","d553bbd57bbbeec7bbaa87d3baeeaebbeac3be96a96bec3abeebabbaec7d2aaeed3bbeeed57eec557","00000001111","0"
"52","200928_152705_466034","REG","SUM","14","861593472495728613372641598134256987957814236628937145549382761713465829286179354","800590400400000000000600000000200000000000000000007000000002000000000009006079004","bbd3d3d53aebebc3baebabebeaebaeebebc7eebd07ebbd3ebebbaebabebeaebaec3ebebac57c7c7ee","00000001111","0"
"53","200928_152707_358592","REG","SUM","16","341872695859613274276594813527936148938145726164728359483251967715369482692487531","040000000800013000000090803000000008000000000100000000403050000000360002000000030","d553bbb93d3beaeec6bead6bd57ad6d383d7c793ac6d3d7c2c797ad57e97abe93bbabec7c6eeec557","00000001111","0"
"54","200928_152709_136809","REG","SUM","18","487612593195473628362859417741928365653147982829365741516234879934781256278596134","400000500105400000000000000040008005050000080800300040000000000000001206008000004","d557bbd3b93bbec7eec6e83bb93d13c6eec2bc6d5793e83bb93c47c6eec2b93bbd3beec6ec7eed557","00000001111","0"
"55","200928_152710_688464","REG","SUM","18","714253689385964712926187435268539174543721968197846253451372896639418527872695341","000003000080000700900000400200509000500000008000806003001000006009000020000600000","bbbd5557baac57bbd6ac7bd6c57c7bc57b9393ad57ac6c6ed53ed3d5397ed3a97eed53aaed5557eee","00000001111","0"
"56","200928_152712_580159","EXP","SUM","14","782536149365914728941782635596241387237895416418673952873459261654127893129368574","000030040000010000000000005000040300200000006008070000800000000000020000020060000","d7bd7d7d793ed7d3d3c6d7d3c7ad7bbbc7bed3eeabbc7bed3eeed7ad3c7d793c7c7d7bc6d7d7d7ed7","00000011111","0"
"57","200928_152714_459656","REG","SUM","16","791453682462987513358621497174395826639842751825716349513264978946178235287539164","000053000002007000000000090000300026000000000820006000010000000000100200000530000","d393bbbd3bec6aac7aed3d6c7bed7c57d38393bd57ec6c2c7d53d7bed397c7bad3aa93bec7eeec6c7","00000001111","0"
"58","200928_152716_457706","REG","SUM","20","895432176134678529672159384389514762267893451541267893453986217928741635716325948","800030170004000009000100080000000760000000000041000000050006000900000600016020008","93d5393bb86bbec6aae96ab93ead696ec6babbed57beeae93b9697abc6ea96baa93bee92eec6c57c6","00000001111","0"
"59","200928_152718_215450","EXP","SUM","20","925674318417398526386125794591742683634581972872963451259836147168457239743219865","000600000007000020006025704090000003000000000800000050209830100060000200000009000","bbd139393eabc6c6c696ad557d3ed6d7d57a97d5557d6ad57d797bc7d557a96939393eabc6c6c47ee","00000011111","0"
"60","200928_153850_412125","EXP","JIG","21","842136759319254867765948213687513492521897346934762581293481675456379128178625934","002100009010250007000008000600000000500807000904000001000000005000370020078000000","939515793c2ebad102bc16c7c46c3e915793bc382d54287ac4793aa9693d42aaed4017aec557c6d47","00000011110","0"
"61","200928_154846_016277","EXP","JIG","19","217596348593684712784129563472835196851963427965472831639741285348217659126358974","000506000003000002780100000400800106050000000900000001030700000000000059020000000","bd5511793811386942c446ed6ba9139157ae80682d543c2bc4797abe83b92d68546ac453ed554557e","00000011110","0"
"62","200928_155043_319000","NOV","JIG","30","517629384941853627832147596653972148274386951489531762168495273796214835325768419","010600084000053020002140506003000000004000050400501700060005000790210800025708000","91791579382d42d106847bab86be916eae92d06952942bad2beebaaebe8392e812902803c46c46c46","00000000110","0"
"63","200928_160035_300958","REG","JIG","30","831674925416529873597238416652493187743861592289715364328146759975382641164957238","030004925400009000000230016602400007703000590080000300328106050000080600000050000","bd5115393813c6be82c4457c546d3d13d113bc3843c0287aebc7c6a94783913aeb902802c56c46c46","00000001110","0"
"64","200928_160303_456498","NOV","JIG","30","856743291329561874174952638218697453637428519485136927543819762792385146961274385","006003090300561000000050608000600403037400000480000027503809000000000140900270080","bd1553d3b83e9787aac456be96a953907ad2eba86d47a96aa93b96a96a82aebaebe82812c56d46c46","00000000110","0"
"65","200928_160345_317966","REG","JIG","30","281347569645792183893456712718635294529184637372961458436218975157829346964573821","081300009645000080893050000010600004020100630002001000000200005000820040964003000","bd553d113c11783c42b82bc47baac6a9792e8556ad443ed55457ba91139392e844682803ed5546c46","00000001110","0"
"66","200928_160412_743529","MAS","JIG","30","521796438482135769379584612296317845647852391138649257713968524865421973954273186","500006000480100060300084012290310840040000000000040200700008000005001903904003100","91793d55382d403d3ac43bc47aa93ea9392a845682c2aed5546bae917917aeb82d42d412c457c57c6","00001011110","0"
"67","200928_160418_335155","NOV","JIG","30","846251973462597381137986254598423167321769845615348729974612538283175496759834612","800050003400090381107900200000420060320700805010000000004600500200100000700800610","d55513d139113c4782c4447d5469113bd513844685782e9556d3c2be957b83e816912c03c6d4447c6","00000000110","0"
"68","200928_160441_556001","REG","JIG","30","526718943397564281641835729754291638189372456832456197263987514915643872478129365","000000040300004280040035709000000000180072050830000097200900010010600002008109360","95391517bebac2be9292abec14686a83be93ad682c502c57c457c6913911793802806902c46c6d446","00000001110","0"
"69","200928_160625_309876","EXP","JIG","30","783651429495728163631295784126583947942837615874916532357142896268479351519364278","700050009490720160031290004020003000042000005070900530000100896000070000009000070","913915793842c2d542ebc7ad13a907bc782a82d053c2ec2babebc7beaa81693812e86902c46d6d446","00000011110","0"
"70","200928_160849_723741","NOV","JIG","30","982351674635427981417968523276834195159782346324596817893145762541679238768213459","000051070605027901407008020276000000000780300000006800093040000040609000060010009","91391553b8068693eac2bed4456be8557913c56913c4293904693a82c69382a84578282eed5546c47","00000000110","0"
"71","200928_160902_096311","REG","JIG","30","913587462762439185825163749138745296394612857546298371457826913271954638689371524","900580000060400080000000740108000200304610000506000300400800010270950630680300000","913b93913c42a8684293aaad6bec2aa85783baeaed542a83c557baac6d1392e815782803c6d546c46","00000001110","0"
"72","200928_160907_418010","REG","JIG","30","428769531957143862362815974793624158516278493649531287184957326235486719871392645","000060500000040000360805004090004158010008000649030087004007006005406000801000040","bd5111793c13c46902bc057d44683ed3d553c057817babad54696aae9793ad281690283ec6d446c47","00000001110","0"
"73","200928_160925_840865","MAS","JIG","18","156283749968471532782395614293548176821764395435612987374956821647139258519827463","000000709968070030000005000000008000000060000000012000000000020000000000510800460","93d513d13841784786ebaba956bbaeaee912a83c13c06a847c43abaad117eeaaeb82d112c56c47c46","10000011110","0"
"74","200928_160941_572568","REG","JIG","22","931742856564138972827695143172586394419273685683451729356927418248319567795864231","001000000000100000020090000002580090000203000003001700000020010240000067000864000","91391579384282d142eba86bebabaee9292eaad142807a83ebec2ba847817eaaed506912c557ed446","00000001110","0"
"75","200928_160946_196480","MAS","JIG","19","397612485276134598648529137125983674759841362584276913813497256932765841461358729","007002405070000000008520007000000600000040000000206910000000000030000000460300000","93d53d517c017817abbc2b8692a83eaebc6ac03812916bc2c46c2b83ed157ea8057ad112c6d547c46","00001011110","0"
"76","200928_160955_684995","MAS","JIG","19","387516294956734812214983576138497625579268431842175369461329758725641983693852147","000006200950000000010900506000000000500060031002000000400000050000000000690000047","93d511793801786902c46bad446913aed153c02813ebab86c447aaae97917aa81690692ec6d46d447","10000001110","0"
"77","200928_161000_794079","MAS","JIG","19","496283517251697384637458129528341796149725863873916452312879645784562931965134278","000083500050000000030000109000040006000720000000000000310809000004060000900100000","d3d53d513b81785382a82d6bec2ac6bbc53e8556817c3ed554697a913d17ad68047ad413c6d5457c6","10000011110","0"
"78","200928_161008_811957","MAS","JIG","18","492381657176254938523879146749562813365198274681423795917635482854716329238947561","400000607000204038500000000000500010000000000600000700017030000050010000200000000","93d513d178413847abebc6a916a903bec692c06817b82bab8296c2aea86a93e816e96803c6d56d446","10000011110","0"
"79","200928_161012_302453","EXP","JIG","19","436527918985631427371894562542986731267413859618752394159378246894265173723149685","006027000080000000301000000000080701000403800010050000000000206000200000000040080","93d513d17c017847abbc2bad12a83eaebc6ac2d412952bc17c6eba83eb9392e845682803ed5546c46","00000011110","0"
"80","200928_161014_711247","MAS","JIG","18","456318297281947635793652184149723856632584971968471523325196748574869312817235469","406010090000007005000000000100000000002504000000070003005006008000000010007030000","93d111793843c06942eb87ed2bed2eb97e83bad2ad502a83ac3bc6a8683a813aebc2ac02c547ec7c6","00001011110","0"
"81","200928_161123_927078","MAS","JIG","20","532178649467859231189246573915364827628937154873512496346725918291483765754691382","500100000000800201000006070010060007020000050000500090046020008000000000000000380","bd5511793851386906ebc2ed06b907e93e92c2d502d02b87bc2bc2aebc3e83e8147ad403c6d5457c6","00001011110","0"
"82","200928_161355_336285","MAS","JIG","19","746891253125673894873425169459162387318947526964358712532786941291534678687219435","000890050000000000000405009000060000008907506004000000000006001000030008000200030","bd553d1538513c3ebaeb86b87aabae92e92aa8382d42ea82c457aba869117eaaeb806912c56c6d446","00001011110","0"
"83","200928_161359_834354","MAS","JIG","20","619873524273516498438921756851769342795642831542387169364198275126435987987254613","000003020073000000400900000000060042790000030002000100004090200000005000087000000","93d5153978413abeabebc6ac16a907beba92c2d016ec2bab86957aaaae9693aaea92902ec56c6c447","00001011110","0"
"84","200928_161624_551855","MAS","JIG","21","731529648395846712254687931982173564476351289168935427647218395829764153513492876","000500600000006000200087030002003000470001080000930000040008000809000000003090000","bd5113d13c53c4478693817d16b82c6bbe928457aad42e9512a93abebc6a82a812d1282ec447c6c47","10001011110","0"
"85","200928_161634_546027","MAS","JIG","21","175269483234871596869435271598647132617593824346128759721356948982714365453982617","000000000200070006009405001000600100010503000006008009700000940000010005000900000","913913d13c02804782bc2c6d54683e93d553807803d3ac2bc447aabe879396a816902ad6c6d446c57","00001011110","0"
"86","200928_161639_901626","EXP","JIG","20","762549381917283564235861947384175692496732158651928473849617235173456829528394716","760040000017200000000060000300005002000030100000000000840017005003050000000000006","917913913c2d402842bc17c6ebac3ed1792eb817ad407a869457abaebe917ea816906912c6d46d446","00000011110","0"
"87","200928_161641_883202","REG","JIG","21","672835419435716928891243576154387692368592147927164835249678351783951264516429783","600805000005010000001200000100000600000002040027100000040070050783900000000000000","bd5513d13811384786c446ed16b913913e92c02842902bc2abec4683ee81793803906902c46c6d446","00000001110","0"
"88","200928_161643_427310","MAS","JIG","18","749621853651943728832495176126874539573218964914357682487562391395186247268739415","709000050000043028000090000000004030003000000000007002080000000005100200008000000","913d15557802ba9153c46aa86bab97aee92eaad43d443a853c57baaabeb952eaec52eb83c557c56c6","10001011110","0"
"89","200928_161741_989872","EXP","JIG","20","632518947917243685598476132764195823183627459345982716871359264426731598259864371","002500040000003000000400030060000800000000059300900006070000000400001508009000001","93d513d13841784782ebabad546baeaeb913a83816806a8286bc2ba86e92beaaeb902812c56c46c46","00000011110","0"
"90","200928_161743_288820","MAS","JIG","20","684197532415932867372861945936214758541789326827356419758423691193675284269548173","600090502015030800002000940936010000000000000800006000050000090000070000000000000","93d51179780178692bc46d6d02ad13d13c6ab84782d52aad54693aac7b9782a8556ad42eed55457c7","00011001110","0"
"91","200928_161744_528910","MAS","JIG","22","461738259935416827758269143892374516627185934514693782143527698279841365386952471","000008000930000800000069040000070506027100030010000082000027000000000360000900000","917d1557bc2d3ad112bc3ac384683a83ee93c2e82d142bc3c6beba83c7907ae82d506903c457ed446","00001001110","0"
"92","200928_161747_635685","EXP","JIG","18","782549631534617829679238154851476392148923567326195748967852413495381276213764985","080040000000007809070030050000400090000003000020000040007000010400000200000060000","93d117d53843c2d17aeb8787ad292ebeb83a82b852c2a82aabc7eec6ae83913914782802c6d546c46","00000011110","0"
"93","200928_161748_584283","MAS","JIG","19","914876325678235149725398614182647953451923768536489271297514836369152487843761592","000000305000205000005390600002000000001900000000400000200000800009100000040060500","953913d3babac047aaea87a912a92ebec46ac2d015792b8786bd46aebe90793814786902c6d56d446","00001001110","0"
"94","200928_162031_907651","REG","JIG","21","837126945941857326125348769786932451269485137593671284652714893374269518418593672","800000900040800000020308060006030450200000100003001004600000000000200500000000070","913911793c02806942bc2c6d6bac3e91392ebc380280787ac46c2bad29157ea83e82d112c47c47c46","00000001110","0"
"95","200928_162147_453653","MAS","JIG","20","261495738584673291327189456149236875458721963876354129695817342713962584932548617","261000000500000001020000006100000800058700000800004020600000000003060504000000000","913913913842806842eba86bebabaee9692eaad52d407a853c57abaabe93beaaec502812c557c6c46","00001011110","0"
"96","200928_162150_360416","MAS","JIG","23","917583624384162759235794861146975283879621345562348197758436912423819576691257438","000500600004100059200090000040000200809000045060000090700030010000010000600050008","913913913842c02842ebab86eba92eaeb92ec03856c03b86a93b86aeba82aeb812e82812c46d46c46","00001001110","0"
"97","200928_162151_916008","EXP","JIG","20","374168529215743986598621734789256413432589167163974852641395278926817345857432691","000100020200000986008600030700000010400500060000900000000000200006800005007000000","917913d3b82d4047aac457eb96a913d16ad28047ad47ac6b947d56916e9179382d106902c47c6d446","00000011110","0"
"98","200928_162156_223507","MAS","JIG","20","973428615682531947194376852865149723721695384356782491548267139237914568419853276","973000000002000900000006000805000000020000000056080000008260100037000000000003200","91393d113842c03c42ebabc07ba92e83ed2e807807b87c2b8696abbeae96d2a8129293eac46c6c456","10001011110","0"
"99","200928_162202_613384","EXP","JIG","21","631954278942378615785126439416832957397541862258697143129765384563489721874213596","630000008900370010085000000000030000000501000008007040120000380000000020000000006","bd5513d13811384786c446ed16b911797e92c0692d542bad4457baaebd1392e814782803c6d546c46","00000011110","0"
"100","200928_162205_389621","MAS","JIG","21","127345698351896472468927135284539761513672849976418253895761324742153986639284517","020045000050000000000000030080009060003002000006010050000701000000050086600204000","917953913c2d6bac02bc17aabc2c3ed2a83eb857aec03aad547b86ac7d13aeb815782812c6d546c46","10000011110","0"
"101","200928_162206_570902","EXP","JIG","20","947132685382754961156948237568491723714823596293675148829567314671389452435216879","040000080000050000000900000060001000004003006000000100020507000001389000030006800","93d51557b8017a9152c46bac6bad13aeb92eb82852843a86ebaebaaab92ed2eaea805783c56c6d546","00000011110","0"
"102","200928_162213_725509","MAS","JIG","21","623198754857463219491752368249675183365821497718539642134987526976214835582346971","000008004007460019001052000000005080000800000000030000030007000076000000080000901","913913d13802c04782c46bad546d13aed513b82815782a8686bd46aabe94793aea92d102c56c47c46","10001011110","0"
